,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,+/-(-log10),signature
GNAL,1116.836823,3.610740219,1.251430693,2.885289804,0.003910535,0.036328812,1.439748807,proliferative
CABLES1,4889.058436,3.613229848,0.498207873,7.252454338,4.09E-13,5.09E-11,10.29350172,proliferative
GPR137B,3759.989888,3.621286223,0.582474569,6.21707181,5.07E-10,3.06E-08,7.51480121,proliferative
CXADR,312.045475,3.6240659,1.12282278,3.227638383,0.001248167,0.014378786,1.842277785,proliferative
SHC2,369.590979,3.627704056,1.259653185,2.879922902,0.003977724,0.03687033,1.433322972,proliferative
ST6GALNAC1,14.1063635,3.634207405,1.093104944,3.324664687,0.000885249,0.010809086,1.966211041,proliferative
FBXL16,200.5707586,3.639769145,0.696094955,5.228840004,1.71E-07,5.72E-06,5.242982563,proliferative
Z83851.1,99.78376728,3.641985284,1.271819903,2.863601424,0.004188547,0.03842335,1.415404779,proliferative
ASRGL1,474.7628885,3.642514345,1.192630325,3.054185585,0.002256724,0.023513062,1.628690811,proliferative
TNFRSF19,6295.944202,3.643217404,0.856087627,4.255659455,2.08E-05,0.000426826,3.369749512,proliferative
CEACAM1,930.1439575,3.655033307,0.950837863,3.844013209,0.000121038,0.001971833,2.705129925,proliferative
SORL1,1880.174536,3.662327385,1.322974506,2.768252426,0.005635779,0.048749289,1.312031715,proliferative
ANKRD6,490.4276739,3.663994886,0.747244031,4.903344471,9.42E-07,2.69E-05,4.569881728,proliferative
ISG20,1062.991888,3.668628776,0.912466145,4.020564266,5.81E-05,0.001028023,2.987997125,proliferative
RIMS4,67.47945805,3.670663204,1.130949445,3.24564747,0.001171839,0.013651315,1.864825517,proliferative
