,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,+/-(-log10),signature
ZNF343,457.4205602,0.084910352,0.475597988,0.178533874,0.858303721,0.962030789,0.016811029,
STX16,4839.117312,0.085045206,0.403928631,0.210545129,0.833242233,0.956589074,0.019274584,
PPP2R1A,8341.481082,0.085109759,0.330255359,0.257708941,0.796631545,0.943124464,0.02543099,
NDE1,1801.115165,0.085271032,0.405100423,0.210493563,0.833282475,0.956589074,0.019274584,
STK3,883.4531707,0.085956614,0.339117054,0.253471812,0.799903641,0.944235732,0.024919569,
WBP1L,1562.964073,0.086301063,0.500037712,0.172589108,0.862974414,0.964041703,0.015904179,
MIB1,3501.038319,0.086476007,0.543236822,0.159186571,0.873521884,0.966347189,0.014866812,
MIS18A,1010.793138,0.086554659,0.686919702,0.126004042,0.899728725,0.974314565,0.011300805,
SCO1,1053.947681,0.086853971,0.374270339,0.232062127,0.81648976,0.94901625,0.022726351,
ZNF441,322.720664,0.087030579,0.845770264,0.102900968,0.91804157,0.97875253,0.009327102,
TMEM218,672.3020703,0.087148062,0.519193813,0.167852659,0.866699195,0.965190827,0.015386814,
ACP6,873.2361692,0.087164028,0.503555575,0.173097135,0.862575077,0.963764349,0.016029143,
USP21,1309.584824,0.087285339,0.408669928,0.213583953,0.830871515,0.95607965,0.019505926,
EPOR,466.2535859,0.087384362,0.56175908,0.155554872,0.876383899,0.967796916,0.014215766,
AASDH,526.6671253,0.087489244,0.52619546,0.166267578,0.86794638,0.965506847,0.015244642,
RBM14,1591.20995,0.087491257,0.477104097,0.183379807,0.854500019,0.961512538,0.017045048,
MVK,425.6380451,0.087556559,0.399246726,0.219304387,0.826412945,0.953966651,0.020466807,
RAE1,2541.124975,0.08763137,0.436334303,0.20083539,0.840827289,0.958136281,0.018572714,
FBRSL1,2032.276151,0.088088628,0.463396568,0.190093397,0.849235944,0.960857876,0.017340846,
CLEC16A,1535.51101,0.088115721,0.291966708,0.301800576,0.762804092,0.929734578,0.031641017,
SETD3,2137.286436,0.088182724,0.378479897,0.232991831,0.815767749,0.948816413,0.022817811,
IRF2,900.1046267,0.088548997,0.638846115,0.138607711,0.88976015,0.969749849,0.013340279,
C7orf49,2252.430766,0.088860377,0.427169321,0.208021438,0.835212228,0.957043788,0.019068191,
SUPT5H,10337.97279,0.089352952,0.281762567,0.317121443,0.751151455,0.924619982,0.034036725,
CDS1,121.7466088,0.089503621,1.146435325,0.078071235,0.937771389,0.982096079,0.007846023,
ILKAP,1365.544505,0.089512894,0.546699154,0.163733369,0.869941047,0.966169337,0.01494675,
TBC1D8,1267.88706,0.089632673,0.623287127,0.143806393,0.885653355,0.968652362,0.013832058,
DTL,2162.856586,0.089637452,0.623504297,0.143763969,0.885686856,0.968652362,0.013832058,
UGGT2,1564.745182,0.089767928,0.474576648,0.189153697,0.849972357,0.961002456,0.017275503,
CNST,1804.130014,0.089925749,0.435436653,0.206518557,0.836385871,0.957684285,0.018777639,
ZNF700,192.8534365,0.090146314,0.643619332,0.140061538,0.888611369,0.969323327,0.013531336,
ADSS,3032.022533,0.090223181,0.477827623,0.188819516,0.850234275,0.961002456,0.017275503,
TSC2,3904.35228,0.09067273,0.375887893,0.2412228,0.809382441,0.946793124,0.023744905,
CDK4,5379.808368,0.090682823,0.42882176,0.211469734,0.832520747,0.956589074,0.019274584,
TTC13,931.76223,0.090824733,0.595974501,0.152397011,0.878873814,0.968083176,0.014087327,
SNX16,295.7391408,0.090840645,0.463322491,0.196063534,0.844560438,0.95926206,0.018062732,
HPN-AS1,1.085139985,0.090877104,1.71097976,0.053114073,0.957641019,0.988254748,0.00513109,
CLK4,389.8663711,0.090965191,0.563272741,0.161494041,0.871704304,0.966319243,0.014879372,
ATP2A2,19008.28233,0.090988207,0.460981938,0.197379116,0.843530871,0.958869253,0.018240607,
MKL2,1059.995109,0.091006801,0.357293423,0.254711659,0.798945811,0.944139598,0.024963787,
SENP2,2277.830304,0.091168074,0.428861575,0.212581587,0.831653334,0.956589074,0.019274584,
TIGD6,287.2037909,0.091273324,0.403283883,0.226325247,0.820948464,0.950749036,0.021934106,
TMEM198B,354.7262703,0.091282472,0.624121116,0.146257625,0.883718016,0.968652362,0.013832058,
CRYZ,1286.19527,0.091296318,0.445714732,0.204831278,0.837703948,0.957750191,0.018747753,
C4orf27,729.8933497,0.091371686,0.607689631,0.150359133,0.880481282,0.968341369,0.013971514,
EML2,2836.840331,0.091521891,0.601727655,0.152098529,0.879109224,0.968083176,0.014087327,
EIF3I,13886.66855,0.091879151,0.423053812,0.217180766,0.828067474,0.954901076,0.020041617,
PEX16,1060.050304,0.091939495,0.440310545,0.208806025,0.834599667,0.956989149,0.019092987,
ARHGAP33,434.5681204,0.092009001,0.585512678,0.157142628,0.875132443,0.967354048,0.014414547,
MND1,332.0535016,0.092191126,0.740751461,0.12445622,0.900954063,0.974804274,0.011082575,
CROT,604.9429743,0.092191866,0.590925905,0.156012565,0.876023117,0.967796916,0.014215766,
UBA5,1192.12697,0.092481804,0.442128264,0.20917415,0.834312292,0.956989149,0.019092987,
RCL1,584.3506282,0.092484874,0.562128515,0.16452621,0.869316916,0.965884231,0.015074924,
CBS,5926.532142,0.092644923,0.946643344,0.097866766,0.92203809,0.979072841,0.009184997,
ABCA7,1180.842377,0.092907001,0.710143714,0.13082845,0.895911017,0.972633544,0.012050757,
LARS2,1815.484587,0.092969847,0.44867083,0.207211703,0.835844528,0.957385503,0.018913153,
XPOT,13911.50673,0.093043085,0.287873355,0.323208394,0.746537424,0.922263766,0.035144853,
DYSF,121.1886076,0.093087797,1.255077532,0.074168961,0.940875943,0.98239926,0.007711973,
CTD-2544M6.2,1.082518095,0.093379232,1.642104713,0.056865577,0.954652275,0.987708322,0.005371287,
FBXL14,642.1183197,0.093449013,0.515333293,0.181337038,0.856103036,0.961512538,0.017045048,
FAM214A,581.7788367,0.09371397,0.44140494,0.212308385,0.831866454,0.956589074,0.019274584,
COX10,637.3618999,0.093930362,0.519100582,0.180948288,0.856408166,0.961512538,0.017045048,
LRP5,1881.689932,0.093939668,0.985870457,0.095286016,0.92408765,0.979651129,0.008928557,
GALK2,692.7885126,0.093965969,0.450948211,0.208374193,0.834936805,0.957004136,0.019086185,
ABCC1,3206.393504,0.094104952,0.444657011,0.211634923,0.832391862,0.956589074,0.019274584,
ATP13A1,4423.164302,0.094153246,0.33249657,0.283170579,0.777046081,0.935828193,0.028803875,
RP11-395G23.3,356.804304,0.094256349,0.806326805,0.116895964,0.906942497,0.97582494,0.010628086,
POLD1,2003.198995,0.094410085,0.518379798,0.182125316,0.855484381,0.961512538,0.017045048,
MRPL16,1369.771227,0.094725008,0.321857418,0.294307363,0.768523047,0.931033961,0.031034477,
CA11,363.6685372,0.094762839,0.869812366,0.108946299,0.913245084,0.977164344,0.010032389,
RBBP5,1598.606318,0.095043105,0.315725638,0.301030685,0.763391096,0.929734578,0.031641017,
FAM122B,2070.140854,0.09535541,0.480699481,0.198368032,0.842757127,0.958579356,0.018371928,
POMP,4581.607215,0.095400321,0.467035783,0.20426769,0.838144317,0.95786387,0.018696208,
PJA2,4479.664985,0.095634103,0.470426396,0.203292382,0.838906509,0.95786387,0.018696208,
CCDC136,644.9618916,0.09579687,0.912199566,0.105017447,0.916361964,0.978386808,0.009489412,
ABTB1,797.9513715,0.095980328,0.654541039,0.146637602,0.883418073,0.968652362,0.013832058,
DDX21,11026.91718,0.095999954,0.371490306,0.258418464,0.796083968,0.942770934,0.025593815,
RRN3,2087.463217,0.096228264,0.259335716,0.371056735,0.710595274,0.90695498,0.04241427,
PSMD11,4772.128724,0.096318253,0.431963908,0.222977548,0.82355298,0.95181437,0.021447743,
C14orf119,1208.899831,0.096411091,0.32586121,0.295865503,0.767332797,0.930760417,0.031162095,
TCEAL1,481.7325098,0.096419245,0.410329421,0.234980091,0.814224186,0.947803977,0.023281473,
DDX39B,4681.142438,0.096546637,0.456035298,0.211708693,0.832334306,0.956589074,0.019274584,
ZNF430,298.2080888,0.096556681,0.504462012,0.191405256,0.848208103,0.960687108,0.017418037,
SUZ12P,344.898948,0.09658801,0.606036569,0.159376537,0.873372224,0.966322323,0.014877988,
PELI3,392.4771316,0.097068847,0.453692667,0.213952869,0.830583812,0.95607965,0.019505926,
NOP14,2018.250282,0.097308919,0.461262069,0.210962325,0.83291667,0.956589074,0.019274584,
IFRD1,4201.277078,0.097404833,0.55557764,0.17532173,0.860826838,0.963090421,0.016332937,
EWSR1,13588.21704,0.09764356,0.272015529,0.358963182,0.719622633,0.909717318,0.041093538,
DBNL,4935.172614,0.097778685,0.518940174,0.188419956,0.850547457,0.961118627,0.017223006,
ZBTB8A,195.8558418,0.097848887,0.663414322,0.147492877,0.882743001,0.968652362,0.013832058,
WDR43,4046.665061,0.097908964,0.349585596,0.280071506,0.779422645,0.936447177,0.028516715,
CARS2,2278.233239,0.098030249,0.451864113,0.216946304,0.828250191,0.95502318,0.019986087,
BTBD7,1490.252539,0.098233365,0.539617117,0.182042715,0.855549204,0.961512538,0.017045048,
KIF13B,1365.811834,0.098982419,0.463554834,0.213529041,0.83091434,0.95607965,0.019505926,
LY96,141.1641314,0.099131996,1.055245468,0.09394212,0.925155135,0.979766841,0.008877263,
AMD1,3197.13793,0.099132756,0.41421519,0.239326703,0.810852261,0.947272818,0.023524925,
ZNF131,1722.222124,0.099320445,0.305680723,0.32491563,0.745244927,0.922006016,0.035266245,
FEM1C,1129.002876,0.099355578,0.493772113,0.201217475,0.840528528,0.958136281,0.018572714,
URI1,3422.055785,0.099404553,0.35636832,0.278937683,0.780292649,0.937029483,0.028246744,
SUOX,621.124669,0.099547844,0.433706853,0.229527947,0.818458601,0.949837827,0.022350539,
NAPB,621.5208934,0.099628189,0.404323881,0.246406888,0.805367274,0.945718716,0.024238016,
HAUS5,1271.410392,0.10001397,0.397841179,0.2513917,0.801511284,0.944585098,0.02475891,
UBA2,7461.663301,0.100535195,0.328354503,0.306178823,0.759468495,0.928421853,0.032254646,
ZNF581,752.0893123,0.100627275,0.607483469,0.165646112,0.868435456,0.965529602,0.015234407,
TMCO6,475.7619893,0.100982705,0.472982723,0.213501889,0.830935516,0.95607965,0.019505926,
DDX51,1346.91716,0.10100226,0.458505392,0.220285872,0.825648522,0.95334985,0.020747698,
RBM4,159.4108872,0.101055089,0.881072697,0.114695517,0.908686467,0.975851232,0.010616385,
UBE2I,2621.878535,0.101058573,0.280388182,0.360423796,0.718530234,0.909717318,0.041093538,
FAM198B,690.233132,0.101287048,1.240049447,0.081679846,0.934901305,0.981927493,0.00792058,
KCNC4,309.4698743,0.101558496,0.84941959,0.119562224,0.904829946,0.974951129,0.011017153,
WDR52,320.1709075,0.101612116,0.620572193,0.163739396,0.869936303,0.966169337,0.01494675,
RPS6KC1,1890.981376,0.101692591,0.452989776,0.224492023,0.822374474,0.951248344,0.021706086,
RPL15,25976.26353,0.101861725,0.451106916,0.225803953,0.821353903,0.950871341,0.021878242,
MAPKAPK5,1128.325325,0.101919986,0.263604896,0.386639198,0.699023334,0.902658964,0.044476301,
MRPS12,1600.891446,0.102003553,0.265480874,0.38422185,0.700814025,0.902932877,0.044344533,
OGFR,3674.261628,0.102418379,0.63262468,0.161894378,0.87138903,0.966319243,0.014879372,
GFM1,3186.428955,0.102532144,0.409177527,0.250581074,0.802138016,0.944995555,0.024570234,
B4GALT4,1082.977567,0.102588374,0.420697679,0.24385296,0.807344702,0.946295177,0.023973373,
RAD51AP1,957.160295,0.102604199,0.718982706,0.142707465,0.886521221,0.968652362,0.013832058,
MAP2K3,2142.95382,0.102676888,0.730462955,0.140564128,0.888214289,0.969060266,0.013649213,
MRPL55,1036.741168,0.102726077,0.424831237,0.241804435,0.808931702,0.946793124,0.023744905,
DDB1,12095.8017,0.102730936,0.267609191,0.383884185,0.701064288,0.902932877,0.044344533,
DDN,73.11836707,0.103044346,1.379834842,0.074678753,0.940470313,0.98239926,0.007711973,
FAM156B,212.3614727,0.103311561,0.580654771,0.177922521,0.858783824,0.962203257,0.016733177,
UQCC,1691.526457,0.103362186,0.432430957,0.239025871,0.811085522,0.947272818,0.023524925,
SDF2,1122.936611,0.103554484,0.416913649,0.248383531,0.803837674,0.945336455,0.024413594,
DDRGK1,2600.114581,0.104241483,0.441820734,0.23593615,0.813482216,0.947576042,0.023385928,
CRTAP,15213.95199,0.104307626,0.360342131,0.289468305,0.772223031,0.933093446,0.030074861,
GTF3C3,2508.392812,0.104459102,0.313011532,0.333722855,0.738588702,0.918157572,0.03708278,
ARMCX6,619.7268338,0.104678111,0.484228645,0.216174967,0.828851366,0.955280825,0.019868939,
DOCK4,932.0460483,0.104691195,0.814117589,0.128594685,0.897678372,0.973152355,0.011819162,
BRCC3,1069.334741,0.104984992,0.590796949,0.177700633,0.858958088,0.962254437,0.016710078,
MCM10,781.4083122,0.105026816,0.739318905,0.142058881,0.887033497,0.968652362,0.013832058,
ZNF621,1799.491002,0.105028455,0.515651567,0.203681055,0.838602748,0.95786387,0.018696208,
ARSB,1478.951277,0.10509328,0.510582954,0.205829982,0.836923721,0.957727658,0.01875797,
DESI1,2087.924398,0.105118041,0.30751881,0.341826378,0.732481557,0.914913372,0.038620025,
RHEB,5062.737207,0.10520035,0.49117503,0.214180982,0.830405926,0.95607965,0.019505926,
RER1,5353.586876,0.105461759,0.475504758,0.221789072,0.824478087,0.95261783,0.021081294,
NUP205,5804.903446,0.105678649,0.470413009,0.224650779,0.822250959,0.951248344,0.021706086,
CYTH1,1507.161968,0.10589171,0.528832778,0.200236662,0.841295496,0.958136281,0.018572714,
PMF1,309.3847046,0.106023364,0.38721145,0.273812576,0.784228659,0.937862684,0.027860744,
CEPT1,900.5499928,0.10665091,0.418837508,0.254635527,0.799004617,0.944139598,0.024963787,
CSAD,536.896658,0.106666415,0.648608214,0.164454308,0.869373514,0.965884231,0.015074924,
MTMR1,1147.172871,0.107011066,0.428673384,0.2496331,0.802871098,0.945046189,0.024546965,
UBFD1,3489.254976,0.107107693,0.331207254,0.323385709,0.746403151,0.922263766,0.035144853,
KIF1C,6496.000288,0.107141249,0.416176592,0.257441796,0.796837741,0.943124464,0.02543099,
PCMTD1,840.63605,0.107336731,0.5933076,0.180912449,0.856436297,0.961512538,0.017045048,
TSKU,1207.493801,0.107634254,0.633194298,0.169986139,0.865021037,0.964843099,0.015543305,
TIMM8B,833.1954512,0.107776277,0.585387424,0.184111022,0.85392636,0.961491067,0.017054746,
GFOD2,865.3930316,0.107934,0.431722016,0.250008098,0.802581086,0.944995555,0.024570234,
HSP90AB1,80264.0864,0.108326867,0.43317168,0.250078369,0.802526744,0.944995555,0.024570234,
CHCHD5,593.4345233,0.108348635,0.303729297,0.356727638,0.721295713,0.909765586,0.041070496,
SUGP1,1232.129761,0.108384019,0.256443496,0.422642884,0.672555833,0.892199975,0.049537793,
PNPT1,2713.512062,0.10846377,0.316895144,0.342270216,0.732147547,0.914816447,0.038666036,
NUP54,1191.931841,0.108475632,0.429602054,0.252502592,0.800652611,0.944274454,0.024901759,
C8orf82,789.6058474,0.108501103,0.640308929,0.169451178,0.865441771,0.965040372,0.015454518,
PHF12,1759.920356,0.108634156,0.318117118,0.341491073,0.732733924,0.914913372,0.038620025,
PLEKHM2,4785.115132,0.108657186,0.30855669,0.352146588,0.724728331,0.910185873,0.040869909,
ARL3,809.3425066,0.108820087,0.518959649,0.209688917,0.833910476,0.956989149,0.019092987,
HNRNPAB,9135.962347,0.108922786,0.447128795,0.243604946,0.807536798,0.946295177,0.023973373,
ATP5D,1924.056144,0.10895581,0.671764609,0.162193436,0.871153529,0.966319243,0.014879372,
MALAT1,9662.029554,0.109030434,0.57060987,0.19107702,0.848465251,0.960687108,0.017418037,
EPC2,1238.407392,0.109161669,0.342916181,0.318333385,0.750232063,0.924374438,0.034152073,
MIEN1,480.8182231,0.109228363,0.507069475,0.215411039,0.829446864,0.955581553,0.019732242,
TRMT10C,1299.216226,0.109344978,0.396161402,0.276011185,0.782539475,0.937862684,0.027860744,
NTAN1,1131.575613,0.109804676,0.484546285,0.22661339,0.820724379,0.95066667,0.021971732,
TCEA1P2,505.0463315,0.110430537,0.520780034,0.212048331,0.832069329,0.956589074,0.019274584,
PFKP,7328.824049,0.110558345,0.529401559,0.208836455,0.834575911,0.956989149,0.019092987,
GNB2,6907.853977,0.110712296,0.465501161,0.237834629,0.812009359,0.947367738,0.023481409,
SMC1A,8690.131415,0.110963527,0.553329863,0.200537753,0.841060035,0.958136281,0.018572714,
AGT,25.80572963,0.111021991,1.375722349,0.080700871,0.935679844,0.981927493,0.00792058,
MRPL2,1381.044273,0.111253018,0.41457196,0.268356351,0.788425034,0.939879465,0.026927839,
IVD,2595.795032,0.111434156,0.908144398,0.122705328,0.902340444,0.974804274,0.011082575,
ZFAND1,1748.921746,0.111445918,0.428876968,0.259855217,0.794975457,0.942065278,0.025919003,
FAM200B,814.9965258,0.111564222,0.551914489,0.202140412,0.839806956,0.95786387,0.018696208,
IFNAR2,348.6855398,0.111762517,0.602631242,0.185457556,0.852870168,0.961491067,0.017054746,
NRSN2,2316.609472,0.111895232,0.460765255,0.242846505,0.808124308,0.946479332,0.023888865,
ZNF100,218.7292791,0.112175916,0.656776405,0.170797725,0.864382818,0.964670773,0.015620879,
MYCBP2,2889.448703,0.112413853,0.440591339,0.255143129,0.798612554,0.944139598,0.024963787,
CUL5,1434.647079,0.112439398,0.478870941,0.234801047,0.814363155,0.947803977,0.023281473,
MICU2,1824.386408,0.112456337,0.443153279,0.253763973,0.799677908,0.944235732,0.024919569,
THOC5,3322.689926,0.112469442,0.434885721,0.258618384,0.795929697,0.942698847,0.025627024,
NOL10,1349.025551,0.112509397,0.309526151,0.363489148,0.716239518,0.90929082,0.041297193,
METTL21D,303.9522267,0.112853921,0.422740564,0.266957872,0.789501597,0.940170996,0.026793151,
PCOLCE2,351.2353515,0.112898015,1.131058279,0.099816267,0.920490193,0.97895388,0.009237768,
AGO2,1091.21954,0.113054273,0.452768482,0.249695545,0.802822803,0.945046189,0.024546965,
PLK1S1,731.837796,0.113110717,0.685027527,0.165118499,0.868850713,0.965648637,0.015180868,
AEBP1,1143.238611,0.113248125,1.371153935,0.082593298,0.934174931,0.981927493,0.00792058,
FBXO22,1616.266746,0.113465489,0.559772216,0.202699393,0.839369997,0.95786387,0.018696208,
METTL1,799.5013501,0.113526271,0.339497495,0.33439502,0.738081497,0.918064647,0.037126736,
ANKMY1,529.1422482,0.113713846,0.479106889,0.237345463,0.812388795,0.947367738,0.023481409,
EIF2AK1,7089.452613,0.113751005,0.383639564,0.296504885,0.766844537,0.930707567,0.031186755,
TNFSF4,108.9983419,0.113926121,1.025538855,0.111089034,0.911545744,0.977021092,0.010096061,
C14orf132,652.385155,0.11412026,1.240706132,0.091980089,0.92671386,0.979791221,0.008866456,
SEPHS2,7048.207623,0.114125431,0.461590098,0.247244105,0.804719314,0.945534183,0.024322766,
TFAP2C,1181.866365,0.114133632,1.321796849,0.086347333,0.931190313,0.981213682,0.008236405,
CDK12,3764.468912,0.114142758,0.358802386,0.318121513,0.750392766,0.924418442,0.034131399,
NACC2,2509.18584,0.114303078,0.591110961,0.193369918,0.846669273,0.959782296,0.017827265,
AQR,1959.644554,0.114509197,0.548323065,0.208835272,0.834576835,0.956989149,0.019092987,
KSR1,411.678941,0.115104167,0.710757174,0.161945839,0.871348505,0.966319243,0.014879372,
DCUN1D1,1131.887668,0.115120954,0.395817687,0.29084338,0.771171107,0.93263834,0.030286735,
BPGM,677.2127405,0.115462515,0.479048505,0.241024684,0.809535985,0.946794533,0.023744259,
CGRRF1,329.5744212,0.115471288,0.54609092,0.211450665,0.832535626,0.956589074,0.019274584,
ETNK2,405.7144744,0.115944023,0.967390554,0.119852342,0.904600118,0.974951129,0.011017153,
RRN3P1,258.5542407,0.116131842,1.325652212,0.087603551,0.93019178,0.980852038,0.008396501,
DFNA5,3825.311957,0.116218533,0.808474462,0.143750407,0.885697566,0.968652362,0.013832058,
CTNNA1,18604.19194,0.116278977,0.503254214,0.231054154,0.817272731,0.949359213,0.022569431,
PGP,833.2966461,0.116660448,0.492118795,0.237057494,0.812612187,0.947475806,0.023431871,
RPS27L,4136.841397,0.116763805,0.53907006,0.216602281,0.828518308,0.955155126,0.019926089,
IRX2,1.110413713,0.117240189,1.642980213,0.071358248,0.943112638,0.983208236,0.007354492,
ZNF714,498.4258675,0.117283948,0.972245817,0.12063199,0.903982529,0.974951129,0.011017153,
FNBP1,2325.707114,0.117518994,0.732043278,0.160535583,0.872459194,0.966322323,0.014877988,
SLC35B3,1066.085161,0.117544485,0.282136197,0.4166232,0.676954037,0.893547699,0.048882259,
SVIL,2288.369633,0.11768181,0.854355122,0.137743436,0.89044319,0.969749849,0.013340279,
DHX15,6926.848322,0.118084275,0.451158964,0.261735407,0.793525441,0.941665813,0.026103196,
ERGIC1,6491.529598,0.118102457,0.539040849,0.219097415,0.826574165,0.953975568,0.020462748,
STXBP4,241.8944152,0.118274872,0.39137526,0.302203241,0.762497134,0.929734578,0.031641017,
NME3,948.3498254,0.118355179,0.652513703,0.181383439,0.856066617,0.961512538,0.017045048,
ATAD2,3469.940876,0.118563508,0.627377862,0.188982614,0.850106443,0.961002456,0.017275503,
CDH15,11.00671334,0.118613042,1.25221301,0.094722735,0.924535059,0.979766841,0.008877263,
MRPS14,979.5379826,0.118865978,0.371739926,0.319755747,0.749153497,0.923898994,0.034375506,
ERCC6L2,721.8895074,0.119183166,0.394243478,0.302308529,0.762416877,0.929734578,0.031641017,
LATS2,2373.166099,0.119216849,0.437675802,0.272386202,0.785325081,0.937862684,0.027860744,
FYTTD1,3339.788726,0.119255154,0.532467934,0.223966829,0.822783114,0.95141214,0.021631311,
DNAJC21,2822.224489,0.119283274,0.302375706,0.394486962,0.693221551,0.899967697,0.045773078,
POP1,1139.0587,0.119374905,0.513766244,0.232352565,0.816264188,0.948949108,0.022757078,
FPGT,363.9006152,0.119483877,0.481000563,0.248406938,0.803819566,0.945336455,0.024413594,
FLOT1,9255.986792,0.119610889,0.446739371,0.267741992,0.788897924,0.940001422,0.026871489,
CLASP2,2730.252936,0.119642481,0.442730999,0.270237415,0.78697761,0.938694146,0.027475891,
TMX2,2692.400833,0.120172448,0.364452479,0.329734203,0.741600808,0.92010738,0.036161486,
KPNB1,15718.35722,0.120252933,0.304696639,0.394664455,0.693090539,0.899967697,0.045773078,
ISCU,2631.427831,0.120339975,0.511641003,0.23520393,0.814050455,0.947803977,0.023281473,
C14orf80,423.0523538,0.120657545,0.672080003,0.179528545,0.857522705,0.961706941,0.01695725,
CEP164,2245.73886,0.120778385,0.459994063,0.262565095,0.792885806,0.941400283,0.026225675,
ARMC5,452.7727188,0.120787827,0.327657683,0.368640302,0.712395851,0.907910563,0.041956931,
UST,567.4420289,0.12081347,0.718299063,0.16819383,0.866430795,0.965040372,0.015454518,
METTL12,161.0599952,0.121142319,0.759434509,0.15951648,0.873261976,0.966322323,0.014877988,
SPIRE1,2671.280886,0.121259331,0.464680784,0.260951896,0.794129604,0.941665813,0.026103196,
TRRAP,4598.734044,0.121393476,0.50277174,0.241448486,0.809207538,0.946793124,0.023744905,
RPL39L,820.6227565,0.121750399,1.048312558,0.116139407,0.907542058,0.975851232,0.010616385,
FAM199X,2564.130257,0.121876253,0.368003504,0.331182317,0.740506776,0.919286725,0.036549011,
ARFGEF1,2637.704066,0.122330712,0.448269632,0.27289538,0.784933638,0.937862684,0.027860744,
SFXN1,2590.128435,0.122336229,0.480226313,0.254747035,0.798918485,0.944139598,0.024963787,
TYMS,1724.146199,0.122597355,0.704423993,0.174039153,0.861834692,0.963537077,0.016131569,
SCAND1,1686.866118,0.122720995,0.448772599,0.273459198,0.784500253,0.937862684,0.027860744,
SMIM14,560.6290587,0.123130058,0.65656917,0.187535546,0.851240756,0.961234867,0.017170485,
FBXO5,786.0594107,0.12342017,0.475866828,0.259358633,0.795358544,0.94227094,0.025824202,
HAUS4,379.2163049,0.123708308,0.622477675,0.198735333,0.842469783,0.958503761,0.018406179,
GLTSCR1L,872.1988077,0.123794195,0.556661976,0.222386655,0.8240129,0.952257376,0.021245654,
CTB-131K11.1,406.3689148,0.123960045,0.545997962,0.227033897,0.820397384,0.950553643,0.022023369,
TLCD1,176.3832006,0.12434468,0.828678631,0.150051751,0.880723786,0.968341369,0.013971514,
CLUHP3,149.6267144,0.124364602,1.263054226,0.098463391,0.92156434,0.979072841,0.009184997,
EME2,537.4584275,0.124379859,0.593982266,0.209399953,0.834136029,0.956989149,0.019092987,
ELF2,685.1302622,0.124663566,0.378763216,0.329133243,0.742054979,0.92038177,0.036031992,
ESYT2,6477.360519,0.124811531,0.528340384,0.236233184,0.813251731,0.947576042,0.023385928,
CUL1,4258.413227,0.12482136,0.49593955,0.251686642,0.801283283,0.944429282,0.024830556,
OTUD6B,1115.51147,0.125078158,0.514252037,0.243223457,0.807832296,0.946379378,0.023934732,
EXOSC5,1275.465388,0.12544369,0.460702536,0.272287821,0.78540072,0.937862684,0.027860744,
CEP78,1212.208265,0.125617512,0.479787844,0.261818873,0.793461088,0.941665813,0.026103196,
SND1,17827.4889,0.125628194,0.49351033,0.254560415,0.799062636,0.944139598,0.024963787,
RABL2A,210.359181,0.125705407,0.581786356,0.216067987,0.828934753,0.955280825,0.019868939,
RNF40,5343.025661,0.126306848,0.251606034,0.50200246,0.615665791,0.869456564,0.06075211,
GTF3A,3107.582258,0.126327705,0.404579011,0.312244831,0.754854463,0.926346297,0.03322663,
PFDN5,6331.429673,0.126459067,0.386782446,0.326951411,0.743704635,0.921075549,0.035704746,
LYPLA2,2621.119968,0.126490937,0.465257422,0.271873012,0.785719663,0.937862684,0.027860744,
ZNF746,1197.008102,0.127283163,0.446261665,0.285220921,0.775474893,0.934506125,0.029417848,
D2HGDH,737.7327289,0.127351878,0.356791272,0.35693664,0.721139239,0.909763029,0.041071716,
BPTF,4443.252625,0.127423886,0.389684664,0.326992304,0.743673706,0.921075549,0.035704746,
TMEM165,2623.411201,0.127434762,0.442834067,0.287770909,0.773522107,0.933574113,0.029851199,
TMEM106C,3373.033834,0.127448072,0.535319083,0.238078701,0.811820054,0.947367738,0.023481409,
SSH3,1035.461921,0.127670872,0.624888786,0.204309751,0.838111451,0.95786387,0.018696208,
DHRS3,445.520996,0.127714636,1.36118049,0.093826378,0.925247077,0.979766841,0.008877263,
EDEM1,3712.592506,0.12790485,0.430282911,0.297257565,0.766269877,0.930422445,0.031319822,
SLC35C2,3143.112977,0.127912551,0.369923534,0.345781057,0.729507262,0.912985831,0.039535963,
TFCP2,1924.265167,0.128109832,0.473006758,0.270841441,0.786512985,0.938410099,0.027607327,
MRPL23,1399.32968,0.12826243,0.363916291,0.352450367,0.724500535,0.910185873,0.040869909,
FAM120C,473.0236675,0.128470061,0.57476074,0.223519201,0.823131441,0.951681128,0.021508543,
ACP1,3666.832779,0.128534406,0.528828587,0.243054951,0.807962829,0.946379378,0.023934732,
PBDC1,855.7006104,0.128553767,1.238173346,0.103825339,0.917307958,0.978486841,0.009445011,
VRK3,1100.888078,0.128750973,0.369942964,0.348029251,0.727818216,0.911698118,0.040148942,
ABTB2,1175.371189,0.128856508,0.531275434,0.242541816,0.80836036,0.946577416,0.023843861,
BLOC1S4,500.2277443,0.128896995,0.61415325,0.209877576,0.833763224,0.95694154,0.019114593,
SGTB,1175.866784,0.128986524,0.618222654,0.208640889,0.834728588,0.956989149,0.019092987,
SYNCRIP,5715.3667,0.129086693,0.25911125,0.49819023,0.618349968,0.870685352,0.060138762,
ACAP2,3450.210156,0.129105498,0.391602033,0.329685465,0.741637638,0.92010738,0.036161486,
STX10,2022.833174,0.129284522,0.414569939,0.311852139,0.755152898,0.926346297,0.03322663,
