"Supplementary Table 6 – Candidate TEAD targets genes are annotated with expression information (in-house and public datasets), biological function and involvement in melanoma. ",,,,,,,,,,,
,,,,,,,,,,,
Gene Symbol,2 invasive vs 9 proliferative samples,,TEADs - KD in MM047,,TAZ activation in Glioma*,TCGA-SKCM (TEAD-high vs rest),,CCLE-melanoma (Resistant vs Sensitive),,ECM and locomotion (GO),Involvement in melanoma (NCBI)
Gene Symbol,log2FC,adj-p-val,log2FC,adj-p-val,log2FC,log2FC,adj-p-val,log2FC,adj-p-val,,
RELB,2.079661461,0.013660436,0.480922786,0.060521808,0.490044155,0.007743908,0.971297366,0.536870588,0.145941058,0,0
RHBDF2,1.353736805,0.076611425,0.831929727,0.003451381,0,-0.337709192,0.080455519,-0.047030096,0.942114002,0,0
RIN2,3.45423427,0.070205865,-0.214811753,0.375876616,1.68206155,1.356643111,1.43E-13,0.675792652,0.198366837,0,0
RP11-166D19.1,5.030558314,1.03E-05,-0.251548872,0.52370731,NA,NA,NA,NA,NA,0,0
RP11-224O19.2,5.814491142,3.22E-07,-0.301362947,0.639527434,NA,NA,NA,NA,NA,0,0
RP11-371I1.2,5.881202591,8.58E-05,0.616726009,0.115680365,NA,NA,NA,NA,NA,0,0
RP11-48O20.4,7.603599564,7.27E-09,NA,NA,NA,NA,NA,NA,NA,0,0
RP11-575F12.2,3.386986231,0.013256686,-0.682121396,0.098232885,NA,NA,NA,NA,NA,0,0
RTN1,6.177478755,5.02E-06,NA,NA,-0.643767742,1.638557213,1.43E-07,0.524742508,0.259948897,0,0
S1PR3,5.150786629,0.00099147,0.346392577,0.202958203,NA,1.28006191,1.87E-07,1.466598053,0.010582444,0,0
SAMD9,2.666649586,0.046211596,0.059290452,0.846880556,0,0.896258175,3.71E-05,1.088384789,0.025509342,0,0
SAMD9L,4.027485468,0.001733992,1.026479879,6.52E-09,NA,0.196235823,0.524428032,1.336266697,0.037348804,0,0
SCARA3,3.891126799,0.033481883,-0.496982425,0.26832776,0,1.570516309,6.29E-08,0.635770509,0.397099278,0,0
SCG5,3.645739857,0.000471815,0.101050262,0.890347144,4.483555227,1.54010548,1.35E-10,2.841558825,0.005854705,0,0
SCN2A,3.225581135,0.030402644,-0.533407029,0.10323663,0,1.612096613,0.000323037,-0.014547476,0.95724085,0,0
SCN9A,5.9407823,1.68E-06,1.660329867,0.02118622,0,1.130454008,0.010396703,0.675665703,0.208376953,0,0
SEMA4B,2.310563362,0.000170511,0.345535078,0.031328497,NA,0.789501256,2.08E-05,0.499483896,0.157821598,0,0
SERPINB2,4.978870993,0.002045931,-0.850129351,0.055865959,2.003131812,3.17387881,8.42E-13,4.05066645,0.000834299,0,0
SERPINB7,8.214292276,4.38E-13,-1.262691732,0.001895223,4.969817306,3.14159295,5.58E-09,1.575925182,0.058090524,0,0
SERTAD3,1.130028379,0.062868001,0.646380391,0.054272372,0.043819081,0.245468511,0.029511758,0.724464034,0.02992538,0,0
SH2D4A,6.030454537,4.41E-06,-0.293128135,0.543838836,0,0.523818003,0.170493559,0.644417376,0.339706586,0,0
SH3RF1,1.55189954,0.002659859,-1.180585141,1.96E-05,NA,0.339608055,0.032292116,0.901643258,0.005746819,0,0
SH3RF2,3.912655199,0.006859099,0.360523795,0.492219696,NA,-0.062453397,0.915378115,0.243887001,0.439697243,0,0
SHC3,3.226027092,0.048841076,0.207343888,0.517915511,-2.220289137,2.015983229,1.68E-06,0.492688659,0.013594241,0,0
SHISA5,1.171857976,0.044232193,0.355370071,0.02620188,NA,-0.196903581,0.104817248,0.41956303,0.155027003,0,0
SIPA1L3,2.083418838,0.007987557,-0.770660442,0.071760581,0.218431299,0.152437244,0.328550154,0.11157281,0.46544607,0,0
SLC14A1,8.021000566,3.27E-12,2.552413462,1.00E-21,0.354846229,1.956936552,1.05E-11,1.632174853,0.05840804,0,0
SLC15A3,6.045506,1.65E-06,1.268492234,1.15E-08,-0.018905781,-0.208558205,0.511533229,0.781796,0.054912817,0,0
SLC16A2,4.244091182,0.002172337,-0.73658389,0.120820969,0.685444318,1.300460243,1.84E-08,1.061808332,0.133744667,0,0
SLC38A2,1.337846747,1.43E-05,-0.911676626,0.00048547,0.046487085,0.696801783,1.63E-06,0.613862232,0.060468664,0,0
SLFN11,4.43540249,0.016527634,-0.316130711,0.465669962,NA,0.684839369,0.008068843,1.013483595,0.388310911,0,0
SMAGP,2.825319752,0.05439404,-1.561329559,3.85E-13,1.525632904,1.757032446,2.05E-10,1.202391377,0.10153812,0,0
SNED1,2.602670744,1.31E-13,1.169054329,0.003026123,0.04800008,2.049467915,3.06E-11,0.213856475,0.640551122,0,0
SOCS5,1.498455797,0.023091106,0.431569162,0.111834645,0.079875162,0.775779259,4.26E-11,0.871314399,0.011846421,0,0
SOD3,5.303364338,0.000359828,1.583122416,3.66E-10,0.091679053,1.785527734,2.83E-08,-0.057270403,0.944775581,0,0
SPAG4,1.959548723,0.083096488,0.676693051,0.108246316,0.039710507,0.259049076,0.402458343,0.697971556,0.467490235,0,0
SPATS2L,2.01290566,3.46E-07,-0.682284541,0.036581842,0.264454347,0.440272525,2.32E-05,0.610044486,0.077792738,0,0
SPDL1,2.326076007,3.31E-06,-0.149787042,0.484533208,1.094078248,NA,NA,0.595234034,0.11263949,0,0
SPEG,3.57264422,0.004028086,0.605545247,0.133939329,0.272918602,1.896805373,4.94E-09,0.259528113,0.084235969,0,0
SPIN1,1.116718093,0.028886485,-0.434873662,0.02350039,0,0.42966243,6.60E-05,0.320484352,0.293784823,0,0
ST6GALNAC4,1.750907795,0.036172173,-0.968461763,1.96E-05,0.412846161,0.421913172,0.056006323,0.022720711,0.978139921,0,0
ST8SIA5,2.905553895,0.004626716,1.623880598,0.000834779,0.706742362,2.917029135,4.47E-12,1.53781178,0.168201768,0,0
STC1,4.210597298,0.001175294,-0.647319862,0.201480411,-0.096932622,2.166971029,1.71E-14,2.120104422,0.043075121,0,0
STC2,4.352037023,0.026793584,0.988022983,1.25E-07,2.995848875,1.251816707,2.04E-07,1.825635627,0.045390469,0,0
STEAP2,3.48994573,0.041927872,0.274696808,0.559171919,NA,1.937972904,2.69E-11,0.504417403,0.53217779,0,0
STK33,5.349218132,0.000539709,-0.580372197,0.114477479,NA,0.864346891,0.073650046,-0.034578311,0.917972491,0,0
STX1A,2.176812856,0.000363262,0.412866553,0.152924508,0.14643638,1.54267319,2.70E-15,0.785131994,0.044006686,0,0
SUSD1,3.386308599,0.024595846,-0.53916464,0.047202559,NA,0.481113598,0.023176876,0.439797317,0.493365923,0,0
SYT1,3.659616924,0.007279286,0.116766296,0.87508304,0.277198209,2.210420567,9.87E-09,1.838022155,0.011713572,0,0
TENM2,6.321051271,3.78E-11,-1.183236533,0.002000367,NA,NA,NA,0.869905365,0.425111633,0,0
TIFA,1.862561312,0.000652245,0.206067929,0.598577361,NA,0.140032749,0.415812367,0.118503876,0.711143547,0,0
TLDC1,1.922152847,0.005464385,0.424206451,0.0210685,0.623447383,NA,NA,0.557691858,0.028431239,0,0
TLE4,3.713114266,0.002343592,0.197390834,0.476456115,0.359724781,1.147336049,5.25E-05,0.822011709,0.161335321,0,0
TMEFF2,3.456024414,0.064871209,NA,NA,NA,2.930002951,4.99E-05,0.789088924,0.032562253,0,0
TMEM158,5.364183751,1.45E-06,0.057804265,0.8991362,-0.956946689,1.190685085,0.000383021,1.374932526,0.096645349,0,0
TMEM200B,4.162894228,0.005167927,-0.02952457,0.959379316,NA,0.309491416,0.429045743,NA,NA,0,0
TMSB10,1.231653813,0.032594328,-0.489958068,0.004687362,-0.048965233,0.114859099,0.512777423,0.284867675,0.164894417,0,0
TNFSF18,6.588136572,8.78E-07,NA,NA,0,1.179188656,0.002572661,-0.011216038,0.959125752,0,0
TNIP1,2.012983566,1.92E-06,-0.543586461,0.005361065,0.477737492,-0.042018219,0.785607814,0.607503297,0.02992538,0,0
TOR1B,1.145263352,0.006050081,-0.350237525,0.130111652,0.136112691,0.314149277,0.000185175,0.602652036,0.026628449,0,0
TOR4A,5.306507007,3.28E-11,-0.475120575,0.025134325,0.199286368,NA,NA,0.209722464,0.312980479,0,0
TOX2,5.261421779,0.00014534,1.188585939,8.73E-13,NA,0.681312962,0.047749427,1.67189392,0.155605864,0,0
TPM2,3.38310766,3.05E-05,-0.371716567,0.30994042,-0.013075731,1.036798207,4.48E-06,0.638406157,0.208800386,0,0
TPM4,2.036123715,0.001440936,-1.014892203,0.000644471,0.302682935,0.616187756,2.05E-07,0.586640541,0.164702798,0,0
TRABD2A,3.26098392,0.012073083,-1.408008864,0.002441883,NA,NA,NA,-0.104659111,0.798528533,0,0
TRAM2,2.213812897,1.17E-08,-0.096858226,0.841019523,0.674544391,0.43600746,0.0012186,0.899392719,0.011240253,0,0
TRHDE,6.764924768,1.29E-07,-1.70500048,1.33E-13,0.084384621,2.829797782,7.28E-08,0.804377793,0.274343008,0,0
TRHDE-AS1,6.457270095,1.23E-07,-1.718163816,0.000218082,NA,NA,NA,0.148690254,0.534631303,0,0
TRIM58,5.702724114,0.000473854,-1.380727234,0.00022805,0,0.270352295,0.589760463,1.288290114,0.131342283,0,0
TRIM59,2.357665743,0.031925892,-0.314095921,0.50651491,NA,0.556676778,0.011815246,0.656059821,0.500089763,0,0
UBE2E3,1.887601744,4.93E-09,-0.351870975,0.153996481,-0.167877697,0.592702191,7.22E-07,0.498840172,0.008302187,0,0
VASN,3.575223755,0.00124633,0.097754205,0.870556492,NA,0.591784993,0.010457608,0.866330928,0.036052255,0,0
VGLL3,6.60691212,4.00E-09,-0.762747066,0.008600805,-0.43778554,1.129464472,3.83E-05,1.828729039,0.011305839,0,0
VIPR1,7.933283136,6.65E-14,1.407753941,3.80E-10,2.588304424,0.390164596,0.35595503,1.127151924,0.270659117,0,0
WNT5A-AS1,4.050742028,0.01431821,0.347234251,0.333635055,NA,NA,NA,NA,NA,0,0
WWC2,1.161623903,0.075650496,0.851853961,7.82E-09,NA,0.297552289,0.077384499,0.019254011,0.911325618,0,0
ZC3H12A,2.517557662,6.26E-05,0.616589904,0.056622348,0.501695292,0.522280246,0.024455416,0.631603369,0.156036625,0,0
ZNF185,3.307436806,0.00028558,-1.22056919,0.00137318,3.47006432,1.049858321,8.89E-05,0.129220183,0.855616778,0,0
ZNF385D,4.737253298,0.005464385,1.097475464,0.019181481,-0.422020303,0.565853611,0.136403853,0.023630949,0.943051364,0,0
ZNF804A,4.200667645,0.001440936,-1.514691818,0.007039493,1.08546435,0.999166341,0.002143861,1.461432343,0.016837028,0,0
ZSWIM4,1.376287034,0.091881451,-0.439674407,0.06407018,NA,0.313573516,0.012737509,0.070282311,0.500758847,0,0
ZYX,1.472623238,0.069669819,0.280549664,0.345687177,-0.147856886,0.829148301,7.19E-07,0.939495723,0.019137961,0,0
